EU,Date,RiquezaFuncional,RiquezaTaxonomica
0,0,7,15
1,7,8,15
1,37,3,12
1,74,5,11
2,7,4,10
2,37,4,10
2,74,4,5
3,7,4,10
3,37,3,7
3,74,4,7
4,7,7,10
4,37,4,7
4,74,3,11
5,7,4,5
5,37,4,8
5,74,3,9
6,7,0,3
6,37,3,3
6,74,4,9
